id,question,bcss_answer,source,
50123,"What is the procedure for filing a Summary Bill Reprint Case, or Cancelled Account Reprint Case?","Go to Bill > Other Bill Image. Select the bill that customer is requesting. Select Options > Reprint. If the address on the requested bill matches the address where the customer wants the bill sent, select to reprint the bill via Central Mode. Central Mode always sends the bill to the address on the bill, whether or not it is the same as the address on the account. Always verify the address on the bill. Run Mode: Central. Contents: As Original: No Call Details included, Details Only: Only Call Details; no billing information. Select Create Charge. Bill Reprint fees should not be waived. If you are unable to complete a requested reprint via email or paper, submit a Bill Reprints Clarify case. Select the following level needs. Billing > Bill Copy Request > Email Copy or Paper Copy. Level 1 - Select Bill. Level 2 - Select Bill Review. Level 3 - Select Bill Reprints. Click the Action drop-down box > Case > Open. Click the High Level Type drop-down box > Billing. Click the Sub Type drop-down box > Bill Copy Request. From the 3rd Level drop-down, select Email Bill Copy Request or Paper Bill Copy Request. Click the Notification Means drop-down box. Enter the customer's cell phone number or a valid email address for the customer. Enter notes in the Briefly Describe the Customer's Problem section. Click Dynamic Info. This opens the Clarify case for Dynamic Attributes information entry. Specify who is requesting the bill copy: Account Holder, AOP, or TCM. Click Yes Should the Customer be Charged for the Bill Copy(s) Requested? Email Address or Billing Address. Has the address been on file for 30 days or more? Select Yes or No.",Bill Reprints - BCSS.html,
50303,How are late fees calculated for FANs?,"Late fees for FANs are based on the state of the BCID (customer's division headquarters) address assigned to the FAN and comply with state law. For a listing of late fees by state, see Fees Procedure - BRM.",Billing FAN BEST Late Fees.html,
10314,How to change a customer's bill cycle?,"Only telecom managers, day-to-day, and decision makers can request bill cycle changes.
Access the FAN in FaST then select Ordering and Billing.
Determine if the account is attached to a Zodiac Holding FAN.
Yes: Account is not eligible for bill cycle changes.
No: Dispatch a case to BCS-FAN PROFILE UPDATES",Billing Workflow Scenarios - Account Maintenance - BME Specialty Teams.html,
10104,How do I Blacklist a stolen device? ,"»We only add stolen devices to the blacklist; we do not add lost devices to the blacklist.  
»A customer who had their device (for example, phone, tablet) stolen can put that device on the blacklist. 
»Suspend the service before blacklisting if the customer has not replaced their equipment with an alternative device.  
»The customer can go back 30 days to add their stolen device to the blacklist. ",Blacklist a Stolen Device Remove from Blacklist DLC Blacklisting Check - BCSS.html,
20052,How do I remove a device from Blacklist? ,"»The AOP/TCM/approved end-user, unless otherwise noted in the FAN profile, must call into Customer Service to request the unblacklist  
End-users cannot unblacklist the device unless allowed in the FAN profile. 
»The AOP/TCM/approved end-user must have the recovered device in hand and provide the rep the IMEI in order to unblacklist it. ",Blacklist a Stolen Device Remove from Blacklist DLC Blacklisting Check - BCSS.html,
50235,What should be done if a device is blacklisted?,File a Clarify case to have the device unblacklisted. High Level Type: Stolen Device and Sub Type: Device Unblocking Request should be included in the case.,Blacklist a Stolen Device Remove from Blacklist DLC Blacklisting Check - BCSS.html,
50180,What is the return/exchange period for customers who have purchased CRU tablets/Connected Laptops?,"Customers who have purchased CRU tablets/Connected Laptops will now have 30 days to initiate a return or exchange starting July 18, 2022.",BRE Contract Installment Change - BCSS.html,
10300,When will the installment be removed from the customer's account once the device is returned?,Once the device is received the customer is refunded back to original form of payment within 1-2 billing cycles and removed from the account. ,BRE Contract Installment Change - BCSS.html,
10378,How to submit bulk sales requests?,"•	The BCSS Request Form supports SB and Enterprise Sales channels.
•	A Click here to review the SLA option is available for selection on all single line requests.
•	When a number 2 or greater is populated in the Number of CTNs Submitted field, the Bulk Request option becomes available.
•	Bulk Templates and Attachments:
o	Bulk templates are specific to the support level selected.
o	Attachment larger than 2MB cannot be submitted.
Note: Requests over 2MB need to be submitted in separate requests.
•	Bulk Inactive Equipment Ordering:
o	Must be submitted by the director of sales (DOS) or VP for approval.
o	Requests submitted on behalf, or requesting approval of a DOS or VP are rejected.
o	Changes must receive DOS/VP approval and be re-attached to the updated request.
o	DOS and VPs can email the approved requests via standard email. Follow Bulk/Inactive Ordering Equipment policy. ",Business Customer Sales & Service (BCSS) Requests - Sales.html,
10360,What Business Nation Plans are available?,"Beginning December 14, 2022, the DataPlus and DataPro plans are on a sales hold.  Contoso will not accept orders for new services, add-a-lines, and rate plan changes. However, we will continue to allow our existing customers on these plans if groups have not reached the maximum lines allowed.

Now included Contoso Call Protect!
Contoso enables Call Protect Service to Protect Against Robocalls.
Contoso Call Protect, a complimentary service aimed at protecting its users from automated phone calls, is also referred to as robocalls.
The service debuts after the U.S. Federal Communications asked wireless companies to offer free robocall blocking services.
Available for CRU only.
$69.99 Unlimited Plan is not eligible for FAN discounts.

Make every attempt to resolve the caller’s issue. If unable to resolve the issue, involve a team manager/floor support rep (FSR).",Business Nation Plans - BCSS.html,
50224,What steps should be taken to provide excellent customer service on an incoming call?,"Steps to provide excellent customer service on an incoming call include warmly welcoming the caller with a friendly and genuine introduction, verifying the account and obtaining CPNI consent, uncovering customer needs, personalizing solutions, and gaining agreement.",Call Handling Flow - BMC (Internal Only).html,
10024,What are the different access levels? ,"Allowed Transactions
General Access - FAN/Non-FAN CRU
•	Non-account specific information
o	General inquiries about Contoso
o	General offer questions:
	Coverage and call quality
	Device information
	Plans,features, and promotions
•	Assistance using existing features
•	Confirm, but not provide AOP/TCM name or contact number
•	Features, orders, new activations, and resets already requested
o	Does not include updating a previously submitted or stalled order
•	One-time payments
o	Do not provide balance. Customer must provide payment amount.
o	Provide bill due date and payment confirmation number.
•	Request collateral not related to the account
•	Technical troubleshooting (non-account specific)
o	How-to and education
o	Out-of-sync devices
o	Resend an OTA
•	Troubleshooting/opening a trouble ticket that does not require adding/enabling features/services (follow Troubleshooting and Resolve Tool).	o	
 
End-User Access - Non-FAN CRU
•	General Access transactions
•	Activate Immediate Call Forwarding
•	Add/remove:
o	BAN Passcodes
o	International roaming block
o	Plans/features
•	Add temporary exemption to DUCs notification/suspension
•	Caller ID (CNAM)/Username change
•	Cancel/resume
•	Change billing address
•	Change wireless number
•	Combine/split/relocate account
•	Complete second-half activation/upgrade activation
•	Confirm, but not provide call detail
•	Confirm features, plans, or promotions provisioned
•	Discuss charges on the bill or personal credit card
•	Make payments and payment arrangements
•	Insurance claim
•	Obtain date/time of last call, data, SMS, or MMS for lost/stolen inquiries
•	PAH:
o	Add themselves if none exists
o	Remove themselves - make sure there is a valid contact number
•	Perform device unlock
•	Receive:
o	Balance information
o	Installment plan details/payoff amount
o	Payment history
o	SIM unlock (PUK) code
o	Upgrade eligibility date
•	Reinstate from suspend/cancel for non-payment
•	Request collateral related to the account
•	Request credits/adjustments
•	Set up, cancel, and modify AutoPay
•	Suspend and restore, including lost/stolen
•	Update contact numbers
•	Upgrade and receive upgrade eligibility date
•	Voice mailbox/voicemail password reset
•	Warranty Exchange	•	
 
End-User Access Without EUMC Table Transactions - FAN
•	General Access transactions
•	Transactions listed as allowed in FAN profile notes
•	Add:
o	Purchase Blocker/Content Filtering
o	Voicemail
•	Cancel mobile subscriptions
•	CNAM change, only if listed in profile notes
•	Complete second-half activation/upgrade activation
o	Smartphones require a voice and data plan. Add the required plan even if EUMC does not allow.
o	Only activate iPhones if allowed in FaST.
•	Confirm, but not provide call detail
•	Confirm and provide provisioned features, plans, or promotions
•	Confirm and receive the username for their CTN:
o	BlackBerry Internet Service account creation, username information, password, PIN, or IMEI change.
•	Create and reset End-User PIN
•	Discuss:
o	Charges on the bill or personal credit card
o	Discounts or special offers for the FAN
•	Insurance claim
•	Make payments and payment arrangements
•	PAH:
o	Add themselves if none exists
o	Remove themselves - make sure there is a valid contact number
•	Perform device unlock
•	Port out
•	Request collateral related to the account
•	Request credits/adjustments
•	Receive:
o	Balance information
o	Installment plan details/payoff amount
o	Payment history
o	SIM unlock (PUK) code
o	Upgrade eligibility date
•	Provide contract end date only if allowed to cancel service
•	Set up, cancel, and modify AutoPay
•	Suspend for lost/stolen
•	Troubleshoot voicemail or password reset
•	Update contact numbers in biller (if there have been payment issues).	
 
End-User Access With EUMC Table Transactions - FAN
•	General Access transactions
•	End-User Without EUMC Table transactions
•	Transactions listed as allowed in FAN profile notes
•	Add, change, and remove BAN email address if Change Billing Address is allowed
•	CNAM change, only if allowed to perform information/feature changes
•	Reinstate from suspend or cancel if allowed	 
 
Full Access - Account Holder - Non-FAN
Perform any transaction on the BAN, as allowed per policy	 
 
Full Access - AOP/DD/DM/TCM - FAN
•	Perform any transaction on the BAN, as allowed per policy
•	End-User and FAN Contact PIN Opt Out (DD only)
•	Receive the names of contacts on the FAN (DD/DM/TCM)
•	FAN Password/FAN Profile changes
o	AOPs can only update their own information
•	Receive Sales and Account Team contact information	 ",Caller Access Levels - CRU Mobility.html,
30119,customers bill reflects a different date than when they cancelled. ,"Cancellation Date
•	Contoso policy is cancellations should go into effect the last day of the customer's billing cycle. See exceptions.
•	CRU accounts cancellation requests rule: CRU accounts can request to cancel service on any date they choose, as long as it does not involve backdating, and is not beyond the end of the current bill cycle.
•	Provide the Authorized Requestor the option of canceling the service immediately, or at the end of the bill cycle. If the customer does not have a preference, cancel the request at the end of the bill cycle: 
o	If a cellular telephone number (CTN) is set for end of bill cycle cancellation, the cancellation takes effect at 12:01 a.m. on the day of cancellation. The basis for the time zone is the customer's Place of Primary Use (PPU) address.
o	It is necessary to include the cancellation date on bulk requests submitted to the Ordering Team. If the request is for immediate cancellation, and that information is not included, it delays the cancellation.

End of Bill Cycle Cancellation Policy Exceptions
•	See the rules regarding CRU accounts cancellation requests.
•	Buyer's Remorse Period: Cancel all voluntary cancel requests within 30 days of activation the day of the request.
•	Deceased Account Holder/User (link not available to Business Sales).
•	Transfer of Billing Responsibility (ToBR) customers.
•	Noted accounts: Verify in the company's profile.
•	Lost/stolen devices.
•	$0.00 monthly service fee plans.
•	Accounts billed in arrears receive prorated monthly service charges.
•	Accounts billed in advance continue to charge through the end of the month.
•	Ordering Team requests: 
o	Internal customer request: Cancel effective immediately unless a specific date is requested. 
o	External customer request: Future-date cancellation to end of bill cycle unless a specific date is requested.
",Cancellation of a Corporate Responsibility User (CRU) - BME.html,
10238,how do i reinstate service on cancelled service?,"Re-instating Cancellations
•	The customer may reinstate service after cancellation, if the number is available. 
•	If the number is not available, the customer must complete a new line activation with all applicable fees.
•	Add any remaining contract terms back to the account, if the account reinstates.
•	If a customer currently under contract upgrades their equipment, agrees to a new contract, and then decides to return the new equipment within 30 days in accordance with the return policy and cancels service, reinstate the terms of the original contract.
",Cancellation of a Corporate Responsibility User (CRU) - BME.html,
20119,how long does auto pay stay active on a cancelled account?,"AutoPay
•	When an account cancels, AutoPay remains active for 90 days after the final invoice generates and we receive payment. 
•	If the account reinstates within those 90 days, even if a phone number change processes or required upon reinstatement, the customer does not need to enroll again.
",Cancellation of a Corporate Responsibility User (CRU) - BME.html,
50184,What happens if a customer cancels their service within 30 days of the initial activation date?,"All mobile charges, associated taxes, cancellation fees, and activation fees are credited to the account, resulting in a zero balance. If billable airtime exists, the NOI reason code cannot be used.",Cancellation of a Corporate Responsibility User (CRU) - BME.html,
10022,How do I handle a cancellation call?,"BME Call Handling - Enhanced Care and FirstNet Enhanced Care
•	Handle/Own all cancellation calls. Do not transfer to Loyalty Team.
FirstNet/BMC/BMTS Call Handling
•	Enterprise CRU
o	Handle/Own all cancellation calls. Do not transfer to Loyalty Team.
•	Government/FirstNet/Small Business/Mid-Markets/Non FAN
o	Warm transfer Retention Red Flags and Cancellation request to Small Business Wireless Loyalty.
	Transfer only day to day, decision maker, TCM, AOP, and end-users authorized to cancel (per FaST).
•	Suggested Verbiage: [Customers Preferred Name] thank you for choosing Contoso. We appreciate the opportunity to be your wireless provider. Please allow me to connect you to a representative who can assist you.
(Do not directly refer to the group as Save or Retention.)
	End-users not authorized to cancel should be referred to their day-to-day, decision marker, TCM, or AOP.
	Prior to transfer do not:
•	Make any account changes.
•	Negotiate ETFs
•	Issue credits
	Clarify Resolution: Select Xfer to Loyalty.
	Account Notes: Note all transfers with Transferred to Small Business Wireless Loyalty
•	FirstNet customers in the 3 Pacific Territories:
o	In addition to the standard process outlined below, refer to the Three Pacific Territories (3PT) suspend/cancel - Guam, Northern Mariana Island, America Samoa article for additional required steps.
•	Consumer/Signature
o	Transfer the customer to Consumer Retention
•	Exceptions:
o	Do not transfer when ToBR is the appropriate save offer. See ToBR Grid
•	Do not transfer when ToBR is the appropriate save offer. See ToBR Grid.
ToBR Grid
Call Type	ToBR Appropriate Offer	Action
Cancellation because employee is leaving the company	Yes		Offer ToBR as save attempt.
	If accepted complete BAU.
•	Do not transfer to SAVE.
	If declined, transfer to SAVE.
Cancellation due to dissatisfaction with rate plan	No		Do not make save attempt.
	Warm transfer to SAVE.
o	Buyer's Remorse (BRE):
	Calls during the BRE period, see Buyer's Remorse below.
	Calls after the BRE period, transfer to SAVE (including if customer states returned device during BRE period).
o	Deceased Account Holder: See Retention Procedures below.
o	Escalations: For customers wanting to speak with a manager see Escalation Path - BCSS.
o	Suspended for Non-Pay: If the customer does not make a payment to restore service process the cancellation without transferring.
o	After Hours: If after hours for the Small Business Mobility Loyalty handle the call using the Retention Procedures below.
o	All Other Business Account Types
	Identify red flags and address root causes of all customer requests for cancellation:
•	Respond to the cancellation red flags. If the customer does not request cancellation, close the call.
•	Verify callers have permission to cancel service on accounts. Refer to the company's profile for authorization.
•	Non-FAN accounts: authenticated callers can cancel.
•	Make every attempt to resolve the caller's issue. See Retention Procedures for additional information.
•	If unable to resolve the issue, process the Cancellation.","Cancellation, Retention, and Red Flag Procedures.html",
50326,What is the Contoso Customer Care Center (CCC) Tool?,"The Contoso Customer Care Center (CCC) Tool is the primary system for researching third-party mobile content purchases and donations made via text. This tool provides information about the purchases or donations refund options, and the ability to add Purchase Blocker for customers who want to avoid additional downloads or purchases.",CCC Tool - BCSS.html,
10166,Why was I charged non-return fees  (NRFs)? ,"Customers who file a claim for a lost or stolen device are not required to return their original device.
» A non-return charge of up to $850 based on make and model of the original device will be added to the customer's mobility bill for failure to return their damaged device. 
» Non-return fee requirements are outlined in the Terms and Conditions of Coverage.
 - For more information, customers can visit phoneclaim.com/att/program-terms.
» Customer are notified frequently throughout the claims process that they need to return their damaged/malfunctioning device or they will be charged a non-return if not received at the Contoso Warehouse (CTDI). 
» If the customer received a second replacement device because the first one wasn't working, they will need to return the first replacement device or be charged a non-return fee.",Charging a Non-Return Fee for Non-Returned Device Protection Devices - BCSS.html,
10236,How do i file a clarify case?,"Case Filing Procedures

1.	From Interaction Home window, Create Interactions - Clarify Help.
2.	In the Action drop-down menu, select Case > Open to Create and Dispatch Cases - Clarify Help.
3.	In the Notification Means drop-down menu, choose Phone SMS or Email depending on the customer's preference. BCSS does not have a call back process do not select phone.
•	Enter the customer's email address or phone number for case completion notification.
4.	In the Alternate Contact Number field, enter a contact number other than their wireless number for the customer.
5.	Enter the transaction count.
6.	In the Briefly Describe the Customer Problem field, enter the following in detail:
•	Request or issue; do not assume the Back Office Team understands short descriptions.
•	Steps or actions taken to resolve the issue.
7.	Click and enter Dynamic Information.
8.	Choose Escalated in the Severity drop-down for the following scenarios only:
•	The international feature the customer needs cannot be added and the customer is within 48 hours of international travel.
•	The customer has no service with the phone (voice or data).
•	When device activation cannot be completed due to error message given, this causes a block in service.
•	The service cannot be re-instated from suspend/cancel.
•	The phone number was changed in error and cannot change back to the old number.
•	The SIM burned in error, as it was provisioned to wrong CTN.
•	Heads Up: For escalations outside these guidelines, escalate to your team manager (TM) or floor support representative (FSR).
9.	Select Save and Escalate (Auto Dispatch) > Save. 
•	If you do not click Save and Escalate (Auto Dispatch) before Save, the case remains in your My Work folder (WIPBIN).
•	It is not dispatched to appropriate group to be worked.
•	The Clarify case dispatches to the appropriate group or department.
",Clarify Cases - BMC.html,
50167,What is the expected resolution date for a Clarify case?,"The expected resolution date for a Clarify case, except for Credits & Adjustments cases, should be provided to the customer.",Clarify Cases - BMC.html,
50166,What should be done if device activation cannot be completed due to an error message?,The service cannot be re-instated from suspend/cancel. The issue should be escalated to the team manager (TM) or floor support representative (FSR).,Clarify Cases - BMC.html,
10094,Where can I report issues with CTI?,"Call Routing or Telephony Issues
If the call is routing to the wrong center, or has another telephony related issue this gets reported to Global Command Operations (GCO). Contact your manager, supervisor, or leader intern. They contact GCO via 888.968.4287, chat, or email.
When contacting GCO, provide:
•	Which call center you are calling from?
•	Where they are trying to reach?
•	The speed dial they are dialing and through what method, direct (desk phone) versus CTI?
•	Do they get a carrier intercept, or fast busy, or some other experience? Be as specific as possible.
Clarify Error/Issues
If the issue is with the tool itself such as call dropping, tool not behaving as it should, or functions not appearing, this is a Clarify issue that would require an Internal Case because it is a Clarify error. ",Clarify CM Call Transfer Interface (CTI).html,
20156,How do I file a case via Clarify CM?,Follow the process outlined in the article: Create>Support>Internal Case.     https://attone.my.salesforce.com/lightning/articles/Knowledge/clarify-cm-internal-case-types,Clarify CM Internal Case Types.html,
50347,What is the Internal Case Type?,"The Internal Case Type allows managers (defined as Leader Intern or above) to create a case for support, issues, or enhancements within the Clarify CM system.",Clarify CM Internal Case Types.html,
10312,What is the procedure for filing internal cases via Clarify CM?,"Determine the issue.
Troubleshoot prior to submitting this case type.
Identify the correct internal case type.
Create the case.
Follow up. ",Clarify CM Internal Case Types.html,
10054,What is the process to submit an urgent case?,"•	Only file an Urgent Case when advised by the process.
•	Be sure to include all relevant details.
•	Do not file a case if the customer does not meet the specific requirements of a promotion.
o	The qualifying questions have been loaded and must be validated before submitting.
	If the answer to any of those questions is no, the customer does not qualify.
ICU/Managers cannot override eligibility. If the customer does not qualify, do not submit a case.
o	If detailed case notes are not provided, the ICU team will send back the request and you will have 24 hours to update it with the missing information.
",Clarify Create an Urgent Case.html,
20060,How can I request a credit? ,"Explain valid charges without proactively offering adjustments.
  - Use all tools to validate charges
  - Check the Billing Issues Log
» Resolve the root cause before applying adjustments.
» Ensure all adjustments adhere to the Adjustment Policy.
» Use the credit and adjustment note templates.
» BMC: Submit all adjustments via OPUS.
» Use the correct Category/Sub-Category and Adjustment Classification.
  - Multiple errors: Select the primary reason for the error with the largest adjustment amount (multiple reason codes can be selected later).",Clarify Credits and Adjustments Policy and Submission Process - BCSS.html,
50383,How long will it take for the adjustment to appear on the invoice?,The adjustment will appear on the invoice within 1-2 billing cycles.,Clarify Credits and Adjustments Policy and Submission Process - BCSS.html,
50388,What do you do when the validation fails?,"When the validation fails, the line item turns red and remains checked. Hover your mouse over the red line item to view an explanation. See the User Guide for ABS Bulk Adjustments for more information.",Clarify Credits and Adjustments Policy and Submission Process - BCSS.html,
50392,What is the process for adjusting equipment charges billed to a credit card?,Adjustments for equipment charges billed to a credit card should be processed according to the Separate Equipment Invoicing (SEI) Overview - BME Collections.,Clarify Credits and Adjustments Policy and Submission Process - BCSS.html,
50379,What is the qualifying condition for a credit for international roaming?,The customer must call within 60 days of provisioning online.,Clarify Credits and Adjustments Policy and Submission Process - BCSS.html,
50389,"What should be entered in the ""Goodwill Adjustment Tab""?","Enter the dollar amount that should be credited to the BAN level. If within SOD, the adjustment applies immediately.",Clarify Credits and Adjustments Policy and Submission Process - BCSS.html,
50384,What should I do if I need to make adjustments in ClarifyLite or Telegence when I see a failed transaction?,ClarifyLite automatically corrects or resubmits the adjustment.,Clarify Credits and Adjustments Policy and Submission Process - BCSS.html,
50382,What tab do I need to complete the customer's request?,Charge Level Adjustments Tab.,Clarify Credits and Adjustments Policy and Submission Process - BCSS.html,
10120,Why is my bill so high? ,"Explain valid charges without proactively offering adjustments.
  - Use all tools to validate charges
  - Check the Billing Issues Log
» Resolve the root cause before applying adjustments.
» Ensure all adjustments adhere to the Adjustment Policy.
» Use the credit and adjustment note templates.
» BMC: Submit all adjustments via OPUS.
» Use the correct Category/Sub-Category and Adjustment Classification.
  - Multiple errors: Select the primary reason for the error with the largest adjustment amount (multiple reason codes can be selected later).",Clarify Credits and Adjustments Policy and Submission Process - BCSS.html,
50062,What procedures should I use to block/unblock names and numbers?,"Use the manual and self-service options to block/unblock names and numbers. Customers may activate the Caller ID Block feature via their online account (Premier or myContoso). Additionally, they can set the Caller ID settings on their device to Hide to block the name and number from appearing on a per-call basis.",CNAM Caller ID - BCSS.html,
10352,How to a split combined bill account?,"For account types mentioned below, the eTeam processes the new accounts in Telegence. This information refers to creating a new account in Telegence (Change of Ownership Process). Enhanced Care can perform this transaction over the phone with the customer.
•	Contoso Mobile Business (AMB) or Business/Regular accounts require a run of credit.
Exception: ACDA, General Services Administration (GSA), and Western State Contract Alliance (WSCA) accounts do not require a run of credit.
•	Backdating the move of CTNs form one BAN to another is permissible when the FAN and the bill cycle on the from and to BANs are the same.
•	Customers on Contoso Installment with Next Up plans are eligible to combine their accounts. Once the process is complete, all future installments move to the new BAN.
o	Review the FAN profile to ensure installment plans are permitted.
•	Ensure the appropriate reason is selected for the subscriber move.
Example: Name changes result in an $18 fee for each CTN.
•	Customers enrolled on grandfathered or expired plans may retain them, unless it is restricted on the customer's profile.
o	Revenue Assurance can only add the plan, or the ordering system does not allow it.
•	If the CTNs are on a shared plan (for example, Mobile Share, FamilyTalk, BusinessTalk), move the CTN to an individual plan before completing the move.
o	Ensure the appropriate data plan and optional messaging feature is added.
•	Prior to cancelling lines from an account with BAN-level plans/features, expire the BAN-level plan/features effective with today's date. This ensures the BAN auto-cancels itself.
•	Use transfer code CTN when:
o	Consolidating individual subscriber accounts into 1 main account, if the number of accounts/CTNs is greater than 50.
o	Performing an account split or consolidation in which the previous account(s) have 0 subscribers. This will prevent the system from automatically issuing a refund check for balances of $150 or less.
•	BMC: For authorized order placers (AOPs) and telecom managers (TCMs), follow the policy in eTeam Requests.   ",Combine or Split Accounts - BCSS.html,
50188,What is required when accepting a Transfer of Billing Responsibility (ToBR) to a Consumer or Contoso Signature Program account?,"There must be a ToBR Authorization note on the current account indicating that the receiving customer has permission to take over ownership/financial responsibility of the CTN(s). Authorization can be found in Clarify, FaST, Telegence, ToBR SOC, Memos Section, Premier, and myContoso. If the OAH is a Consumer/Signature Program account, the representative can use myContoso Zone and go to the ToBR page. If the OAH is deceased, no authorization is needed but the caller must be verified.",Completing a ToBR - BCSS.html,
50190,What is the age requirement for potential individual customers to consent to a credit check and service activation with Contoso?,Potential individual customers must be at least 18 years of age to consent to a credit check and service activation with Contoso. Exceptions include Puerto Rico (21 years of age) and Alabama (19 years of age).,Completing a ToBR - BCSS.html,
50189,What is the minimum account tenure required to be eligible for a ToBR?,The current account must be active for a minimum of two months (60 days) service to be eligible for a ToBR.,Completing a ToBR - BCSS.html,
20055,Can I convert my service to Postpaid? ,"Customers can port-in to a CRU BAN from any Prepaid carrier including Cricket but cannot port-in from Contoso Prepaid.
»If an Contoso Prepaid customer wants to convert their Prepaid service to a Signature Program or CRU, they must first transfer their Contoso Prepaid service to a consumer account.
»Customers wishing to convert their service from Contoso Prepaid to Postpaid must complete this request at an Contoso Retail wireless store.",Convert Postpaid to Prepaid and Prepaid to Postpaid - BCSS.html,
10110,Can I convert my service to Prepaid? ,"If the customer wishes to move to Contoso Prepaid (formerly GoPhone), then follow the below:
Contoso Prepaid service is offered in all local markets (not including NBI market and XMKT (Cross Market)).
» In the NBI market or XMKT CTN, complete a ToBR or XMKT move to the local native market first (for example, NYC CTN on a PHI account, CTN must be moved to NYC market before conversion).
» Accounts with a FAN attached to the account (CRU/Signature Program):
 - Signature Program: Remove the FAN before submitting the Account Change request. FAN discounts are not eligible for prepay.
 - CRU: ToBR to a local market Consumer BAN is required. CRU cannot convert to Contoso Prepaid.",Convert Postpaid to Prepaid and Prepaid to Postpaid - BCSS.html,
10328,How do I clear fatal error message in CORAL?,"Most common errors can be resolved by following the steps below. If at any point the resolution to an error takes longer than 15 minutes, engage the NBCE Support Chat.

Important! Every error within CORAL displays as a FATAL ERROR. Please read the actual type of error in the pop-up box labelled as AN ERROR HAS OCCURED. Error - Screenshot 

1)	Fatal error - DN in use:
It is important to click only once when logging in. Multiple clicks may result in this error
Close Coral
Open line on physical phone and release
Login to Coral again
2)	Unable to Log in Invalid agent ID or Switch password:
Verify extension is correct
Verify password is correct
3) Agent logged into a different DN:
This indicates the CORAL code does not match
Verify DN matches the physical extension associated with phone at desk
3)	If Coral logs the user out or becomes out sync during a customer call:
Complete the customer call
Once completed, you may have to change the disposition ON the physical phone
Log out of CORAL and complete the steps to log back into CORAL.",CORAL Procedures - BCSS.html,
50134,What is CORAL?,CORAL is a web-based application that replaced the CDEC (Telephone Toolbar). It is designed to help reduce overall AHT and deliver an even better customer experience.,CORAL Procedures - BCSS.html,
50135,"What is the purpose of the ""Drop Conference"" feature?","The ""Drop Conference"" feature cancels the call to the dialed department and the customer is placed on hold.",CORAL Procedures - BCSS.html,
